gene,n_complete,protein_coverage,spearman_rho,spearman_p,rna_to_protein_slope,rna_to_protein_intercept,n_high_rna,n_high_rna_unexpected_low_protein,fraction_high_rna_unexpected_low_protein,median_residual_z_among_high_rna,n_low_rna,n_low_rna_unexpected_high_protein,spearman_fdr,protein_detected,detected_fraction,total_patients,triangulation_class
C2CD4C,54,0.5625,0.32349914236706684,0.017025780506840546,0.22814442831845544,-2.1371793224034263e-15,1,1,1.0,-4.4724889362799845,0,0,0.027208506925354797,0.0,0.0,11.0,assay_ambiguous
NEFL,58,0.6041666666666666,0.37342726252730774,0.0038859999132937967,-0.14513688814805523,-2.3245294578089215e-16,1,1,1.0,-7.383163600240241,0,0,0.007130589959585194,0.0,0.0,11.0,assay_ambiguous
MASTL,53,0.5520833333333334,0.23859054991130463,0.08534317466195135,0.09732334765724086,-5.466113672802919e-15,5,3,0.6,-1.5211898455443633,4,1,0.11517690319785882,0.0,0.0,12.0,assay_ambiguous
CHGB,62,0.6458333333333334,0.3203183037485877,0.011144952706559274,0.2990319125430726,-6.036837696399289e-16,2,1,0.5,-1.2690665422510612,0,0,0.018578647340322482,0.0,0.0,11.0,assay_ambiguous
CRABP1,67,0.6979166666666666,0.42766720319730994,0.00030643748570239357,0.19691410502226722,-6.107961358914338e-15,2,1,0.5,-1.7930750241690427,0,0,0.0007076055592044156,0.0,0.0,12.0,assay_ambiguous
HBZ,52,0.5416666666666666,0.04522259292249911,0.7502267521031242,0.24540005793534114,-6.786238238021269e-15,2,1,0.5,0.00023362617876321323,0,0,0.7844459653950251,0.0,0.0,12.0,assay_ambiguous
SST,57,0.59375,0.24752486723415604,0.0634004314862522,0.05028456572764252,-9.367506770274758e-16,2,1,0.5,-0.996090034829384,0,0,0.0884545789130335,0.0,0.0,12.0,assay_ambiguous
SVEP1,70,0.7291666666666666,0.2298136645962733,0.055640649551948904,0.14447266914597506,6.689093723366568e-15,6,3,0.5,-0.47048884308816474,4,1,0.07876896043896003,0.0,0.0909090909090909,11.0,assay_ambiguous
TESC,59,0.6145833333333334,0.6650496785505553,9.18361606557008e-09,0.6624602692717982,-6.106226635438361e-16,11,5,0.45454545454545453,-0.005937652168210683,8,1,5.272252124689974e-08,0.0,0.0833333333333333,12.0,assay_ambiguous
ADH6,52,0.5416666666666666,0.5252283787244941,6.392657480765766e-05,0.6623130343517969,-1.817990202823694e-15,7,3,0.42857142857142855,-0.6750065854432908,0,0,0.00016992557749752424,0.0,0.0,11.0,assay_ambiguous
IGLV6-57,59,0.6145833333333334,0.08801870251315022,0.5073899156789058,0.14524136636015117,-2.256875242245826e-15,7,3,0.42857142857142855,-0.5644173398192653,0,0,0.5593910712161468,0.0,0.25,12.0,assay_ambiguous
CRABP2,71,0.7395833333333334,0.7089537223340039,4.574556445739962e-12,0.628616123851947,1.817990202823694e-15,5,2,0.4,0.046684730560096754,0,0,4.842619625999883e-11,0.0,0.0,11.0,assay_ambiguous
ENPP1,52,0.5416666666666666,0.5599760949372491,1.5857888085460342e-05,0.6125933049356617,-6.938893903907228e-17,5,2,0.4,-0.5233500964317706,3,1,4.755220567981071e-05,0.0,0.0,11.0,assay_ambiguous
NOS2,53,0.5520833333333334,0.635542654410579,3.1759636051291976e-07,0.7117595138573671,5.263151026113633e-15,5,2,0.4,0.36795384575623585,0,0,1.3474030661709576e-06,0.0,0.1666666666666666,12.0,assay_ambiguous
SPON2,72,0.75,0.3404077432632324,0.003435456846134277,0.39207190351875487,-3.83026943495679e-15,5,2,0.4,-0.7337804612862282,3,0,0.006365361514242105,0.0,0.0833333333333333,12.0,assay_ambiguous
FAM210A,59,0.6145833333333334,0.287375803623612,0.02731913845402475,0.2909685981504748,-5.80785419757035e-15,8,3,0.375,0.23869071220613913,7,0,0.041484155423105656,0.0,0.0,10.0,assay_ambiguous
KIF2C,49,0.5104166666666666,0.8004081632653061,5.128618830148875e-12,0.719204889701061,3.83026943495679e-15,8,3,0.375,0.0003680937263969143,8,0,5.386265084175311e-11,0.0,0.1666666666666666,12.0,assay_ambiguous
MUC12,73,0.7604166666666666,0.6452239911144021,7.185407247609843e-10,0.5312037296171974,-1.7069679003611782e-15,8,3,0.375,-0.1274847600877651,0,0,5.153029922557738e-09,0.0,0.25,12.0,assay_ambiguous
MTMR10,69,0.71875,0.08103763244428208,0.5080087500270358,0.13462554281135855,-5.773159728050814e-15,11,4,0.36363636363636365,-0.17500790976307123,9,1,0.5598876276823167,0.0,0.1666666666666666,12.0,assay_ambiguous
ADCK5,66,0.6875,0.4595136207076506,0.00010393182409517017,0.5420093710641674,-6.473988012345444e-15,12,4,0.3333333333333333,-0.4540956218021419,10,3,0.0002634672609968732,0.0,0.3333333333333333,12.0,assay_ambiguous
ANKRD35,55,0.5729166666666666,0.04834054834054835,0.7259832228494771,-0.02188467117339599,-1.2601031329495527e-14,6,2,0.3333333333333333,-0.06623767471239855,6,1,0.7625748878975074,0.0,0.3,10.0,assay_ambiguous
ASB9,70,0.7291666666666666,0.4876738693027731,1.8524928963866817e-05,0.35412108894177086,-8.770761894538737e-15,6,2,0.3333333333333333,0.288904374685937,6,0,5.4933794063207736e-05,0.0,0.0909090909090909,11.0,assay_ambiguous
ATP6V1G2,50,0.5208333333333334,0.48120048019207684,0.0004038358776679245,0.33551067400518286,-1.3912482277333993e-15,6,2,0.3333333333333333,-0.6830036685729335,6,0,0.0009100681066902922,0.0,0.0,11.0,assay_ambiguous
CD40,56,0.5833333333333334,0.6247436773752565,2.658800268957586e-07,0.5684035503127982,3.9256792261355145e-15,6,2,0.3333333333333333,-0.14082085631866068,2,0,1.1462843182898854e-06,0.0,0.0833333333333333,12.0,assay_ambiguous
CD8A,56,0.5833333333333334,0.8293233082706767,2.8980154004892864e-15,0.8072133846026701,-1.996666720849305e-15,6,2,0.3333333333333333,-0.5227073219447139,7,0,6.096837462801511e-14,0.0,0.0,10.0,assay_ambiguous
CDH2,70,0.7291666666666666,0.44963695214766863,9.425850543036486e-05,0.5602273394322643,8.604228440844963e-16,9,3,0.3333333333333333,-0.12671136391648807,0,0,0.0002416623772082783,0.0,0.0,10.0,assay_ambiguous
CLEC11A,72,0.75,0.6045404849186443,1.8721402749357682e-08,0.5541327140230004,-3.0080105073437835e-15,12,4,0.3333333333333333,-0.5963933644996186,4,0,1.0077723520463957e-07,0.0,0.4166666666666667,12.0,assay_ambiguous
CR2,52,0.5416666666666666,0.5657816101767267,1.2369566854483865e-05,0.5492082277179569,-8.659739592076221e-15,6,2,0.3333333333333333,-0.30757306286754066,0,0,3.787788136739233e-05,0.0,0.2,10.0,assay_ambiguous
HPGDS,75,0.78125,0.18816500711237552,0.10595093327291627,0.2576922379111446,6.5621336489685156e-15,9,3,0.3333333333333333,-0.22987255883377186,9,1,0.13969226851245817,0.0,0.0909090909090909,11.0,assay_ambiguous
HSD3B7,60,0.625,0.14237288135593223,0.2778525031692306,0.20761220619327203,2.609024107869118e-15,6,2,0.3333333333333333,-0.49953925566445656,9,1,0.32990952689213165,0.0,0.2,10.0,assay_ambiguous
IDO1,49,0.5104166666666666,0.8130612244897959,1.2783531726641945e-12,0.5288098761278648,1.2628786905111156e-15,3,1,0.3333333333333333,0.1173966151614892,0,0,1.5121871693721647e-11,0.0,0.3333333333333333,12.0,assay_ambiguous
IFIT2,61,0.6354166666666666,0.549497620306716,4.510587224766144e-06,0.4572644631184385,4.399258735077183e-15,3,1,0.3333333333333333,-0.09742179157946025,0,0,1.5098884123990595e-05,0.0,0.0,11.0,assay_ambiguous
LEFTY1,65,0.6770833333333334,0.44322552447552443,0.00021766639926965655,0.5909323757195956,1.4432899320127035e-15,12,4,0.3333333333333333,0.17124561709162134,0,0,0.0005153708270127046,0.0,0.25,12.0,assay_ambiguous
METTL17,76,0.7916666666666666,0.2962952836637047,0.009353086430757785,0.26400628521324854,8.094219738907782e-15,6,2,0.3333333333333333,0.41043809284358446,11,1,0.01580160574121417,0.0,0.3,10.0,assay_ambiguous
MRGBP,64,0.6666666666666666,0.1999084249084249,0.11324381224704376,0.30206484494847424,-5.950101522600448e-15,9,3,0.3333333333333333,0.6080627179887891,8,2,0.14837305159998954,0.0,0.0909090909090909,11.0,assay_ambiguous
PLAU,65,0.6770833333333334,0.7066433566433566,4.7901514241003135e-11,0.6749962046220457,-2.1788126858268697e-15,9,3,0.3333333333333333,0.22702918474476907,9,0,4.2572255465944076e-10,0.0,0.3333333333333333,12.0,assay_ambiguous
PLEKHF1,50,0.5208333333333334,0.524609843937575,9.198394113438549e-05,0.4609641218418632,-4.8155923693116165e-15,3,1,0.3333333333333333,-0.16805003148370923,0,0,0.00023656063468525907,0.0,0.0,11.0,assay_ambiguous
RPP25L,71,0.7395833333333334,0.20828303152246813,0.0813259206240801,0.27246752718785194,-7.632783294297951e-15,9,3,0.3333333333333333,0.05609562091673052,9,3,0.11027018566365175,0.0,0.0909090909090909,11.0,assay_ambiguous
SGK2,55,0.5729166666666666,0.7083694083694085,1.4503126240615203e-09,0.6438157795148045,-1.762479051592436e-15,9,3,0.3333333333333333,-0.3061055873936222,12,0,9.776719419889704e-09,0.0,0.0,12.0,assay_ambiguous
SLC40A1,61,0.6354166666666666,0.31464833421470123,0.01352175520247087,0.4321733690816461,-1.4085954624931674e-15,6,2,0.3333333333333333,0.15631734341213815,4,0,0.02211380777024018,0.0,0.0909090909090909,11.0,assay_ambiguous
SYP,48,0.5,0.2976552323056882,0.03990933402580513,0.22445108829498042,1.2281842209915794e-15,9,3,0.3333333333333333,0.24369539542533455,6,2,0.0584399234809587,0.0,0.0,12.0,assay_ambiguous
SYT1,56,0.5833333333333334,0.3079972658920027,0.02092658773401822,0.6059827368588799,1.304512053934559e-15,6,2,0.3333333333333333,-0.5911096571585561,0,0,0.032703327516632144,0.0,0.1,10.0,assay_ambiguous
TMEM63B,57,0.59375,0.10630023334197564,0.43128035051652513,0.2435385454526457,-6.47355433147645e-15,6,2,0.3333333333333333,-0.11744433248045827,7,0,0.4847255740040337,0.0,0.0,12.0,assay_ambiguous
TTC7B,74,0.7708333333333334,0.27419474268789334,0.018075991599005085,0.17625364383452435,-6.46011022453763e-15,9,3,0.3333333333333333,-0.14558222026238923,8,0,0.028727992385891896,0.0,0.0833333333333333,12.0,assay_ambiguous
ALG14,56,0.5833333333333334,0.31114149008885855,0.019589540850334333,0.2701872846754908,6.689093723366568e-15,10,3,0.3,-0.06045172178767348,9,0,0.03085317876641143,0.0,0.4166666666666667,12.0,assay_ambiguous
COL7A1,75,0.78125,0.18438122332859175,0.11328961024834035,0.22545144008895165,-7.31793098340816e-15,10,3,0.3,-0.32234207103778145,4,0,0.14840380865634809,0.0,0.0,10.0,assay_ambiguous
GPM6B,63,0.65625,0.4867511520737327,5.229973239212665e-05,0.5162977395296522,3.681083216022785e-15,10,3,0.3,-0.025352673924910613,8,2,0.0001419137228338196,0.0,0.5,12.0,assay_ambiguous
KATNA1,62,0.6458333333333334,0.17090982347460404,0.18412724693745444,0.17783628827706294,3.4555691641457997e-15,10,3,0.3,-0.013585039196491316,8,1,0.22904100721150045,0.0,0.4545454545454545,11.0,assay_ambiguous
KIAA0513,52,0.5416666666666666,0.29770340647144194,0.03207731575513869,0.32796206148951546,-9.492406860545088e-15,10,3,0.3,-0.24021130417570843,10,2,0.047975252000036446,0.0,0.0,12.0,assay_ambiguous
LDLRAP1,74,0.7708333333333334,0.3180599777860051,0.005752245387748322,0.22590823895202788,5.065392549852277e-16,10,3,0.3,-0.011384421054191997,12,2,0.01017316502733462,0.0,0.5,10.0,assay_ambiguous
RIN2,65,0.6770833333333334,0.04632867132867133,0.7140194752457085,-0.0031552606305316738,-2.498001805406602e-16,10,3,0.3,-0.434362603246019,8,0,0.752028116513541,0.0,0.4545454545454545,11.0,assay_ambiguous
SAMD1,76,0.7916666666666666,0.1578673957621326,0.17319635376764264,0.18337277130652102,-1.3600232051658168e-15,10,3,0.3,-0.5402271297064132,11,2,0.21687876433363878,0.0,0.3333333333333333,12.0,assay_ambiguous
B3GNT7,70,0.7291666666666666,0.5433470387542647,1.1720818457600817e-06,0.5844651670877843,6.617970060851519e-15,7,2,0.2857142857142857,0.027362155674073376,0,0,4.43735769397097e-06,0.0,0.5,12.0,assay_ambiguous
CFI,66,0.6875,0.29656612044671754,0.015608278643990232,0.29329903933096396,1.9290125052862095e-15,7,2,0.2857142857142857,-0.731791142627621,5,1,0.025167071652982553,0.0,0.4166666666666667,12.0,assay_ambiguous
CRISP3,61,0.6354166666666666,0.022536514184633955,0.8631260122211496,-0.05865442862557585,-2.779027008514845e-15,7,2,0.2857142857142857,-0.3608711156875834,0,0,0.885230134101543,0.0,0.0,11.0,assay_ambiguous
DMXL2,73,0.7604166666666666,0.4273417252869308,0.00016275894870378148,0.4310428659610451,-3.698430450782553e-15,14,4,0.2857142857142857,-0.17344736064992028,11,1,0.000395186811900197,0.0,0.1666666666666666,12.0,assay_ambiguous
IKZF1,49,0.5104166666666666,0.2043877551020408,0.15892364273044,0.2842323165640969,4.413136522884997e-15,7,2,0.2857142857142857,0.3485906311672999,6,1,0.2009747720890175,0.0,0.0,12.0,assay_ambiguous
NOS1AP,64,0.6666666666666666,0.047344322344322336,0.7102665932523577,0.07233136638544016,3.885780586188048e-16,7,2,0.2857142857142857,-0.20658950793323305,9,1,0.7489059971358722,0.0,0.25,12.0,assay_ambiguous
ORAI1,48,0.5,0.14394268345636127,0.32902882522928234,0.009246262983409335,-1.3877787807814457e-17,7,2,0.2857142857142857,0.1747835713604895,7,0,0.3830794448553886,0.0,0.2727272727272727,11.0,assay_ambiguous
PIK3CD,49,0.5104166666666666,0.27806122448979587,0.05304906643318398,0.1595755565741423,4.106090467637102e-15,7,2,0.2857142857142857,-0.03460956762550156,8,0,0.07559918406169498,0.0,0.0,11.0,assay_ambiguous
PPP2R2D,69,0.71875,0.3675922542930216,0.0018884685702060156,0.33035268867203377,-1.1171619185290638e-15,7,2,0.2857142857142857,-0.3699037809684574,5,0,0.0037068886671021446,0.0,0.5,12.0,assay_ambiguous
SCD5,51,0.53125,0.6378280542986425,4.800058125160768e-07,0.4862509336105828,-1.0547118733938987e-15,7,2,0.2857142857142857,-0.08816631691546474,3,0,1.9661605924872944e-06,0.0,0.3333333333333333,12.0,assay_ambiguous
TMEM62,55,0.5729166666666666,0.354978354978355,0.007829399874070091,0.22908140265404087,-3.6914915568786455e-15,7,2,0.2857142857142857,0.5723756953398055,5,1,0.013425290266396174,0.0,0.5,12.0,assay_ambiguous
CA9,69,0.71875,0.8184873949579833,8.808321801505125e-18,0.8286710996095423,4.649058915617843e-16,11,3,0.2727272727272727,-0.3770135507705299,0,0,3.235233333503098e-16,0.0,0.0,11.0,assay_ambiguous
CYP4F12,76,0.7916666666666666,0.29569377990430623,0.009504715096438805,0.33885109904203714,5.967448757360216e-16,11,3,0.2727272727272727,-0.624411272238902,8,1,0.016041468890867015,0.0,0.1666666666666666,12.0,assay_ambiguous
FGD2,59,0.6145833333333334,0.2196376388077148,0.09463273858370026,0.11536289484957261,-9.13941773823812e-16,11,3,0.2727272727272727,0.06917158959586461,8,0,0.1262276175971989,0.0,0.0,12.0,assay_ambiguous
KIF5A,68,0.7083333333333334,-0.10077489788907125,0.41353487970908065,-0.06957646689357902,-2.7478019859472624e-15,11,3,0.2727272727272727,0.43567456884996736,9,1,0.46754759869149115,0.0,0.3333333333333333,12.0,assay_ambiguous
RNF220,58,0.6041666666666666,0.3816481589713618,0.003116072875407787,0.30546590616062397,7.313594174718219e-15,11,3,0.2727272727272727,-0.05693893168319062,10,0,0.0058255490651605655,0.0,0.0,11.0,assay_ambiguous
CASQ2,69,0.71875,0.6233101936426745,1.0643327476863358e-08,0.56573866852703,1.2628786905111156e-15,8,2,0.25,-0.14012154443348557,0,0,6.032126263102098e-08,0.0,0.0,12.0,assay_ambiguous
CDHR2,59,0.6145833333333334,0.44874342489772073,0.00036427006825809436,0.45421544145753523,3.7470027081099033e-16,8,2,0.25,-0.09295435117975531,2,1,0.0008279204833435253,0.0,0.1666666666666666,12.0,assay_ambiguous
DGKQ,52,0.5416666666666666,0.1978143942627849,0.1598077464115368,0.21644467451277488,-1.0796918914479647e-14,12,3,0.25,-0.22532674802515767,10,3,0.2020159532504082,0.0,0.3636363636363636,11.0,assay_ambiguous
FAM3B,56,0.5833333333333334,0.8533151059466849,6.71132805512547e-17,0.8459733029409109,4.295175326518574e-15,8,2,0.25,-0.3223279508401367,0,0,1.999535283423995e-15,0.0,0.4166666666666667,12.0,assay_ambiguous
ICA1,68,0.7083333333333334,0.49284269191128754,1.958475723931417e-05,0.38904320728775404,5.620504062164855e-16,12,3,0.25,-0.1988428643620858,10,1,5.771252931159601e-05,0.0,0.5,12.0,assay_ambiguous
IGKV3D-15,68,0.7083333333333334,0.18780776424781462,0.12511030096841652,0.3917808431269933,-1.0547118733938987e-15,8,2,0.25,-0.20988617421222525,0,0,0.16222611289994793,0.0,0.0,12.0,assay_ambiguous
MMP7,74,0.7708333333333334,0.7879896334690855,8.04871990416267e-17,0.6144032953255409,-2.1510571102112408e-15,8,2,0.25,0.3907481975171675,0,0,2.3571757675274643e-15,0.0,0.3636363636363636,11.0,assay_ambiguous
PCSK1,57,0.59375,0.522297122115634,3.083400523338357e-05,0.7074578190867248,3.3584246494910985e-15,4,1,0.25,0.3174219517152014,0,0,8.793842419199227e-05,0.0,0.0,12.0,assay_ambiguous
RIPK2,66,0.6875,0.4253626970044881,0.00037037691924362887,0.4584932979058939,-1.1601830607332886e-14,12,3,0.25,-0.5324094085486512,9,1,0.0008406506518032245,0.0,0.1666666666666666,12.0,assay_ambiguous
SI,53,0.5520833333333334,0.18150298338977583,0.19336544494361,0.24664766496928153,-5.3013149425851225e-15,8,2,0.25,-0.19784250025491654,0,0,0.23920608075644198,0.0,0.0,11.0,assay_ambiguous
SRD5A3,72,0.75,0.43903144896777935,0.00011435012644312209,0.36546589753449954,3.3133218391157016e-15,8,2,0.25,0.2612987018561703,3,0,0.00028675957774193723,0.0,0.25,12.0,assay_ambiguous
TBC1D10C,48,0.5,0.4612462006079027,0.0009684390251066755,0.3225383705133229,-4.8155923693116165e-15,8,2,0.25,-0.4069480003505829,8,1,0.002020138888895255,0.0,0.0,11.0,assay_ambiguous
APOBEC3G,63,0.65625,0.636904761904762,2.0052755950213762e-08,0.6550520177623256,-1.5525775109992423e-15,9,2,0.2222222222222222,0.1810041709112882,4,0,1.075086464169525e-07,0.0,0.0,11.0,assay_ambiguous
ATG2B,65,0.6770833333333334,0.23841783216783216,0.05580321134494103,0.18565044336306583,3.747002708109903e-15,9,2,0.2222222222222222,-0.634067381351622,10,1,0.07891507105321591,0.0,0.1818181818181818,11.0,assay_ambiguous
CFAP36,62,0.6458333333333334,0.4136133565007177,0.0008332552027333575,0.414403470302231,1.6112111644872584e-14,9,2,0.2222222222222222,-0.3220539769334277,10,0,0.0017658529129012945,0.0,0.3636363636363636,11.0,assay_ambiguous
CHCHD7,54,0.5625,0.14587383266628548,0.29256574290343,0.10884638180293195,-7.979727989493313e-15,9,2,0.2222222222222222,-0.04786528325828356,6,2,0.3455279905528518,0.0,0.3333333333333333,12.0,assay_ambiguous
ENPEP,59,0.6145833333333334,0.34406779661016956,0.007623808645564933,0.38144830196098883,-4.621303340002214e-15,9,2,0.2222222222222222,0.06581900140246903,8,1,0.013120134578233413,0.0,0.0833333333333333,12.0,assay_ambiguous
GCFC2,50,0.5208333333333334,0.5708043217286916,1.5023232221461014e-05,0.4465635513991216,3.885780586188048e-16,9,2,0.2222222222222222,0.00688835877416936,10,2,4.515119702001484e-05,0.0,0.4166666666666667,12.0,assay_ambiguous
LIMD2,71,0.7395833333333334,0.5660295103957076,2.6849153564715276e-07,0.5194993933419528,-6.217248937900877e-15,9,2,0.2222222222222222,-0.11442570225836353,9,0,1.1567930842399687e-06,0.0,0.0,12.0,assay_ambiguous
MBLAC2,59,0.6145833333333334,0.035943892460549395,0.7869522822147819,-0.009078607344173057,7.549516567451064e-15,9,2,0.2222222222222222,-0.1617931907758021,8,0,0.816564853912506,0.0,0.4545454545454545,11.0,assay_ambiguous
MTTP,75,0.78125,0.6369559032716927,8.080456259909295e-10,0.6958510425456159,5.967448757360216e-16,9,2,0.2222222222222222,1.4585348081803142,0,0,5.733070780776626e-09,0.0,0.1666666666666666,12.0,assay_ambiguous
NDRG4,49,0.5104166666666666,-0.07346938775510203,0.615886875028856,-0.14994642257341034,3.5735303605122226e-16,9,2,0.2222222222222222,0.1552809618655134,5,1,0.6610293744255464,0.0,0.0,12.0,assay_ambiguous
SLC2A4,75,0.78125,0.2565860597439545,0.026275018725314358,0.27204248938543973,3.219646771412954e-15,9,2,0.2222222222222222,0.46866815925079,0,0,0.040127802546724066,0.0,0.1111111111111111,9.0,assay_ambiguous
STX2,60,0.625,0.4228952486801891,0.0007619440724047148,0.25727583139618415,-7.681355551625302e-15,9,2,0.2222222222222222,-0.05890422679488107,6,0,0.0016256111018442053,0.0,0.0,12.0,assay_ambiguous
TRIT1,50,0.5208333333333334,0.39409363745498194,0.004629080956845643,0.44570651627002,1.3704315460216776e-15,9,2,0.2222222222222222,0.042242468570227,10,3,0.008351188657017594,0.0,0.0,11.0,assay_ambiguous
ZFYVE26,67,0.6979166666666666,0.05431399153962807,0.6624485138754548,0.08185658136381971,4.40619762898109e-15,9,2,0.2222222222222222,-0.016061181747515925,11,2,0.7047459945981794,0.0,0.1818181818181818,11.0,assay_ambiguous
ADIPOQ,56,0.5833333333333334,0.3722665599195551,0.004723991734879496,0.3300478880608908,6.938893903907228e-18,5,1,0.2,0.4937911263395591,0,0,0.00850395262753287,0.0,0.0,12.0,assay_ambiguous
AP5M1,61,0.6354166666666666,0.1944473823373876,0.13319062482711486,0.09694747144261563,3.8719027983802334e-15,10,2,0.2,-0.1415159152507674,12,0,0.1715251314867646,0.0,0.5,12.0,assay_ambiguous
BACH1,72,0.75,0.20271400090037944,0.08768063995284339,0.23789524310490134,-4.8242659866915005e-15,10,2,0.2,-0.2401363727647276,10,1,0.11804392353311115,0.0,0.0909090909090909,11.0,assay_ambiguous
CNTN1,48,0.5,0.27095093356491534,0.062499829627322465,0.3363297959167887,2.220446049250313e-15,5,1,0.2,0.12583387053764708,2,1,0.0873263697693232,0.0,0.3636363636363636,11.0,assay_ambiguous
CRTAC1,54,0.5625,0.1964925693343208,0.15442948137778756,0.018626884842034522,-1.85268467234323e-15,5,1,0.2,0.26063463917691326,0,0,0.19573826352707943,0.0,0.25,12.0,assay_ambiguous
CYSTM1,68,0.7083333333333334,0.5420086269420162,1.809061897429485e-06,0.5228587246903349,-6.879913305724017e-15,10,2,0.2,-0.25051042661663325,8,0,6.575529521110561e-06,0.0,0.0,12.0,assay_ambiguous
DUSP22,62,0.6458333333333334,0.31812344186749264,0.01174340863978361,0.3292585147162158,-5.2735593669694936e-15,10,2,0.2,-0.6188663947045565,6,1,0.019473729268466314,0.0,0.3636363636363636,11.0,assay_ambiguous
EMILIN3,61,0.6354166666666666,0.14093072448439978,0.2786527068604193,0.17320272335325387,4.579669976578771e-16,10,2,0.2,-0.24457643125816705,6,0,0.33068246969083676,0.0,0.0909090909090909,11.0,assay_ambiguous
ENO3,59,0.6145833333333334,-0.03302162478082993,0.8039142131824374,-0.02059816526877959,-4.0245584642661925e-16,10,2,0.2,-0.48109488700678493,10,1,0.8324644375758324,0.0,0.1111111111111111,9.0,assay_ambiguous
FAM168A,65,0.6770833333333334,0.14667832167832168,0.2436420058596388,0.075116033549251,-1.1171619185290638e-15,10,2,0.2,-0.1209166900251128,11,2,0.2944432021368622,0.0,0.0833333333333333,12.0,assay_ambiguous
GAMT,69,0.71875,0.43109243697478994,0.00021738699263332297,0.38656513133711934,2.0660556598883772e-15,5,1,0.2,-0.15159267920861744,0,0,0.0005150351842574238,0.0,0.0,10.0,assay_ambiguous
GZMK,65,0.6770833333333334,0.4568618881118881,0.00013050820720140164,0.3006584179266696,2.2022314527525566e-15,5,1,0.2,-0.06572844619444042,0,0,0.00032361751640243124,0.0,0.0,9.0,assay_ambiguous
ISYNA1,70,0.7291666666666666,0.2753739830286064,0.02104013870098358,0.49649379135899085,1.2212453270876722e-14,5,1,0.2,0.7254623343352176,0,0,0.032857609134164634,0.0,0.0,12.0,assay_ambiguous
MIB2,56,0.5833333333333334,0.20601503759398496,0.12768461731324748,0.20939909726645828,3.892719480091955e-15,10,2,0.2,-0.272081419519655,12,2,0.16537060898080447,0.0,0.0,11.0,assay_ambiguous
NCOA7,63,0.65625,0.1298963133640553,0.3102579994997884,0.119275832858141,1.160492058352447e-14,10,2,0.2,0.36739071671092555,11,0,0.36422305856870796,0.0,0.0,12.0,assay_ambiguous
NOS1,50,0.5208333333333334,0.4003761243031375,0.003963323236302115,0.3122952424111544,1.5126788710517758e-15,5,1,0.2,-0.042604612294774906,0,0,0.007258449827806188,0.0,0.0,12.0,assay_ambiguous
PBX1,54,0.5625,0.44013722126929666,0.0008671501616572263,0.45824512334356177,-1.0547118733938987e-14,5,1,0.2,-0.22758018021506693,1,0,0.001830680938296996,0.0,0.0,9.0,assay_ambiguous
PRG4,66,0.6875,0.1775268624343652,0.1538585871178694,0.08844637790130963,-2.248201624865942e-15,5,1,0.2,-0.0543947329411691,0,0,0.19516349688219725,0.0,0.0,12.0,assay_ambiguous
PRIM1,63,0.65625,0.26272081413210446,0.03750540178686127,0.280678714554348,-8.238852308717348e-16,10,2,0.2,-0.12391736303738507,7,2,0.055334201304716765,0.0,0.4166666666666667,12.0,assay_ambiguous
RECK,66,0.6875,0.26742511220123166,0.02994888781964306,0.27873074724713026,-4.8780424144467815e-15,10,2,0.2,-0.3120419659542833,9,0,0.045126973305754096,0.0,0.0,12.0,assay_ambiguous
RNF169,69,0.71875,0.29715016441359154,0.013156487316223056,0.23360944835082367,-8.659739592076221e-15,10,2,0.2,-0.011520751438675743,12,1,0.021574821824926215,0.0,0.0,12.0,assay_ambiguous
RNGTT,75,0.78125,0.32984352773826453,0.0038536868777241527,0.2021346747261323,3.497202527569243e-15,10,2,0.2,0.1244505354758847,9,0,0.007075203082880467,0.0,0.4,10.0,assay_ambiguous
SLC8A1,74,0.7708333333333334,0.42960385042576815,0.0001336213940371909,0.35850858450053935,6.7307270867900115e-15,10,2,0.2,0.4356336347491213,6,0,0.0003303514420079007,0.0,0.0909090909090909,11.0,assay_ambiguous
TMEM97,76,0.7916666666666666,0.4011756664388243,0.0003287544764816078,0.3948270440542002,-2.393918396847994e-16,15,3,0.2,0.17286406958798903,14,2,0.0007531219020157576,0.0,0.0,12.0,assay_ambiguous
TRMU,71,0.7395833333333334,0.21683433936955063,0.0693207421468818,0.1385798002511688,3.3133218391157016e-16,10,2,0.2,0.2357226781194479,10,0,0.09588936616572415,0.0,0.3636363636363636,11.0,assay_ambiguous
USP36,56,0.5833333333333334,-0.0021189336978810667,0.9876340666267618,-0.02226983089089068,1.5751289161869408e-15,10,2,0.2,0.026737708087238028,5,0,0.9893928166048928,0.0,0.25,12.0,assay_ambiguous
VKORC1,74,0.7708333333333334,0.010499814883376524,0.929250771098738,0.04518052593808804,2.213507155346406e-15,16,3,0.1875,0.03210530947174395,11,4,0.9403730400060943,0.0,0.25,12.0,assay_ambiguous
COLEC12,51,0.53125,0.7720361990950226,3.286116606683394e-11,0.7372149443314813,3.7470027081099033e-16,11,2,0.18181818181818182,0.19884617565871146,6,0,2.9967219754775317e-10,0.0,0.0,12.0,assay_ambiguous
LIME1,75,0.78125,-0.08796586059743955,0.4529729139824742,-0.08180641548246334,-6.5780714209040525e-15,11,2,0.18181818181818182,0.3699144791228123,9,0,0.5063668962763559,0.0,0.4,10.0,assay_ambiguous
