analysis,localization,n_gene_cancer_pairs,n_gene_clusters,coefficient,standard_error,odds_ratio,ci_low,ci_high,pvalue,fdr
hpa_negative_among_cptac_quantified,loc_Acrosome,23076,7350,-0.10910370575826048,0.25745461393584235,0.8966374262122828,0.5413362012470389,1.4851374658346566,0.6717274283232979,0.8840116996987974
hpa_negative_among_cptac_quantified,loc_Actin_filaments,23076,7350,0.501813699852067,0.14759963594365408,1.651714269605275,1.2367888868472046,2.205841318134943,0.0006742771127648481,0.00337138556382424
hpa_negative_among_cptac_quantified,loc_Annulus,23076,7350,0.5523087949693084,0.3429210790839074,1.7372593668551153,0.8870831837776669,3.402240244114769,0.1072668670525491,0.330051898623228
hpa_negative_among_cptac_quantified,loc_Basal_body,23076,7350,0.16691331008694962,0.1094732478849029,1.1816518235742517,0.9534633845621572,1.4644516556842444,0.12733519765509896,0.3638148504431399
hpa_negative_among_cptac_quantified,loc_Calyx,23076,7350,-0.22587494859866877,0.2801778202022611,0.7978178636697141,0.4606929655540728,1.3816432877914155,0.4201366130792772,0.6722185809268435
hpa_negative_among_cptac_quantified,loc_Cell_Junctions,23076,7350,0.5088231158326857,0.12081981567344838,1.663332492913368,1.3126083666115747,2.1077688154033454,2.5376923770272084e-05,0.00014501099297298335
hpa_negative_among_cptac_quantified,loc_Centriolar_satellite,23076,7350,-0.05518957138059677,0.15948715283764364,0.9463057384632616,0.692266424510512,1.2935692371353782,0.7293096522515079,0.8840116996987974
hpa_negative_among_cptac_quantified,loc_Centrosome,23076,7350,0.1926307295347833,0.11188673773034623,1.2124349944102846,0.9736851556484124,1.5097268425456698,0.08513143729097906,0.28417425734635543
hpa_negative_among_cptac_quantified,loc_Connecting_piece,23076,7350,-0.29046278929513447,0.26008713945075684,0.7479173593264663,0.44922402093809066,1.24521474878781,0.26408400579216285,0.5339558497927037
hpa_negative_among_cptac_quantified,loc_Cytokinetic_bridge,23076,7350,0.017872649289301802,0.17025968619423884,1.0180333208671806,0.7291787809724545,1.4213137702851104,0.9163973299096735,0.9646287683259721
