reference,candidate,metric,mean,ci_low,ci_high,p_nonpositive
rna,rna_localization,pr_auc,0.024862784184392247,0.020414926429179386,0.02940170569732881,0.0
rna,rna_localization,roc_auc,0.015265844537792332,0.011903085587326162,0.01872612246008562,0.0
rna_gene,full,pr_auc,0.02466082387258667,0.020107916687068347,0.02934044492371517,0.0
rna_gene,full,roc_auc,0.01513738201606133,0.011773249454130335,0.018601420208820992,0.0
