reference,candidate,metric,mean,ci_low,ci_high,p_nonpositive
rna,rna_localization,pr_auc,0.0189313675494359,0.014935930547699847,0.022950059868629444,0.0
rna,rna_localization,roc_auc,0.015203845726894991,0.011600693563788267,0.018924623746039093,0.0
rna_gene,full,pr_auc,0.01916182377596679,0.015088888548506077,0.023207821857944216,0.0
rna_gene,full,roc_auc,0.015372428496239737,0.011692728433660681,0.019156385684974738,0.0
