cancer,rows,genes,detection_rate,localization_coverage,median_hpa_patients
BRCA,15212,15212,0.5811859058637917,0.7506573757559821,11.0
COAD,15212,15212,0.6166184591112279,0.7506573757559821,12.0
GBM,15212,15212,0.44780436497501974,0.7506573757559821,11.0
LIHC,15212,15212,0.516434393899553,0.7506573757559821,12.0
PAAD,15212,15212,0.5706678937680778,0.7506573757559821,11.0
PRAD,15212,15212,0.5447015514067841,0.7506573757559821,11.0
THCA,15212,15212,0.5999868524848804,0.7506573757559821,4.0
