"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"APOBEC3G",8.44376776338948e-187,2.11308978939237,0.773,0.345,1.99999083243643e-182,0,"APOBEC3G"
"SLA",1.5304840912595e-183,1.80584707715443,0.835,0.379,3.62510461855726e-179,0,"SLA"
"CTLA4",3.13566956852736e-182,2.04391676102624,0.557,0.152,7.4271469400139e-178,0,"CTLA4"
"SH2D2A",1.56353524791779e-178,1.98756839197819,0.65,0.223,3.70338958821809e-174,0,"SH2D2A"
"PRDM1",2.5639698174899e-178,1.75023011525803,0.765,0.322,6.07301890970657e-174,0,"PRDM1"
"RGS1",1.98555638758796e-176,1.77421074184374,0.884,0.466,4.70298885964084e-172,0,"RGS1"
"SRGN",4.56477443227439e-176,1.2424964027445,0.957,0.578,1.08121247202851e-171,0,"SRGN"
"PSTPIP1",7.48155288317867e-175,2.12059914753194,0.602,0.193,1.7720806159097e-170,0,"PSTPIP1"
"CD3G",1.15181059002626e-174,1.50442201981114,0.942,0.611,2.7281785635362e-170,0,"CD3G"
"PYHIN1",2.52681162275526e-173,1.95037923012968,0.683,0.254,5.98500600965811e-169,0,"PYHIN1"
"TARP",5.1389469476035e-173,2.35917265016403,0.464,0.11,1.21721097400937e-168,0,"TARP"
"B2M",7.58445796996518e-169,0.840349272144838,1,0.976,1.79645471476595e-164,0,"B2M"
"HLA-A",4.19621177306871e-165,0.931756957362067,1,0.946,9.93914720569054e-161,0,"HLA-A"
"LSP1",5.87476484397358e-163,1.3532007456408,0.902,0.484,1.39149680094358e-158,0,"LSP1"
"DGKH",2.00224810290818e-161,3.00692096909807,0.417,0.096,4.74252485654832e-157,0,"DGKH"
"CLEC2D",8.78796248349143e-161,1.6490731992752,0.92,0.7,2.08151679383978e-156,0,"CLEC2D"
"LCK",4.19112413388497e-160,1.4452900554468,0.809,0.358,9.92709662351993e-156,0,"LCK"
"KLRC3",3.6632599390331e-159,3.07463535784044,0.349,0.067,8.67679749159381e-155,0,"KLRC3"
"TNFRSF1B",7.22703330624366e-159,2.05806539390793,0.871,0.577,1.71179510891687e-154,0,"TNFRSF1B"
"PCED1B",1.90040183321812e-157,1.8755527300308,0.632,0.225,4.50129178216043e-153,0,"PCED1B"
"KIR2DL4",3.32456716665879e-157,4.13890708929844,0.252,0.032,7.87456979094801e-153,0,"KIR2DL4"
"EOMES",8.02019977645729e-157,2.97239690009707,0.339,0.063,1.89966451905167e-152,0,"EOMES"
"GBP5",4.82404944886423e-156,1.93721437411661,0.868,0.6,1.14262435245798e-151,0,"GBP5"
"MIR155HG",7.81879388442366e-156,2.76777023042233,0.474,0.133,1.85195951946459e-151,0,"MIR155HG"
"HCST",3.55657390805444e-154,1.484613350022,0.754,0.318,8.42410095861775e-150,0,"HCST"
"CD38",5.84816611625123e-154,2.1690325847403,0.536,0.166,1.38519662629527e-149,0,"CD38"
"PTPN7",8.41362773563709e-154,1.85134201875127,0.682,0.277,1.992851865463e-149,0,"PTPN7"
"SIT1",1.26118625757143e-151,1.72766871996181,0.626,0.223,2.98724576968369e-147,0,"SIT1"
"KLRD1",8.88842786902457e-151,2.09718129466445,0.963,0.91,2.10531302505716e-146,0,"KLRD1"
"DUSP2",2.75530164230248e-150,1.84602426294796,0.719,0.32,6.52620746995766e-146,0,"DUSP2"
"CCR5",2.59245293877345e-147,2.46616741977994,0.469,0.136,6.1404840307788e-143,0,"CCR5"
"KLRC4-KLRK1",7.38682116666454e-146,2.82564000495392,0.303,0.052,1.74964246153616e-141,0,"KLRC4-KLRK1"
"DENND2D",2.88877747150547e-143,1.66870967647516,0.761,0.375,6.84235831900786e-139,0,"DENND2D"
"HLA-H",1.36057916945634e-141,0.990758642914339,0.998,0.912,3.22266782077429e-137,0,"HLA-H"
"HLA-C",4.40622241781744e-141,0.834082045216092,1,0.942,1.04365784188424e-136,0,"HLA-C"
"KLRC2",7.10017825302488e-141,3.26697099682517,0.334,0.067,1.68174822101147e-136,0,"KLRC2"
"HLA-B",1.01809254982034e-138,0.855749318902054,1,0.941,2.41145401350445e-134,0,"HLA-B"
"PTPN22",8.6475442577944e-138,2.09774767775161,0.568,0.204,2.04825733290118e-133,0,"PTPN22"
"ATHL1",3.50073475328737e-137,2.23553478636167,0.569,0.213,8.29184033663646e-133,0,"ATHL1"
"GPR171",2.87019066754554e-135,2.13959382466772,0.454,0.133,6.79833361514836e-131,0,"GPR171"
"PTPRC",7.43309294342999e-134,1.10474357570343,0.982,0.673,1.76060239458083e-129,0,"PTPRC"
"CD84",5.97276837291215e-129,1.54642522486181,0.977,0.892,1.41470991680797e-124,0,"CD84"
"CCND2",1.21962482889646e-128,1.77722060386257,0.685,0.311,2.88880336972416e-124,0,"CCND2"
"FYN",2.73816092191694e-128,1.68352665229212,0.758,0.41,6.48560795965247e-124,0,"FYN"
"SH2D1A",3.64316167267978e-127,1.70845113601436,0.563,0.204,8.62919273790932e-123,0,"SH2D1A"
"TTN",1.29842117051263e-125,1.89003319835599,0.754,0.443,3.07544038447621e-121,0,"TTN"
"SYTL3",5.65187170795164e-125,2.02252950741549,0.54,0.199,1.33870233274543e-120,0,"SYTL3"
"SNAP47",9.61405360614772e-125,2.5490219061442,0.545,0.23,2.27718473715215e-120,0,"SNAP47"
"RARRES3",3.04369549056395e-123,1.49847649239002,0.737,0.385,7.20929713894976e-119,0,"RARRES3"
"LCP2",9.5403363908044e-123,1.38378232038889,0.805,0.414,2.25972407752593e-118,0,"LCP2"
"TTC24",1.54108038421377e-122,2.88647871456725,0.262,0.046,3.65020299804872e-118,0,"TTC24"
"JAKMIP1",1.70087668627623e-122,2.79808793283593,0.325,0.073,4.02869651911388e-118,0,"JAKMIP1"
"ASB2",1.11184414889148e-118,2.45291336242563,0.376,0.101,2.63351405106435e-114,0,"ASB2"
"ITGA4",2.35409617183901e-116,1.64481970489355,0.733,0.37,5.57591219261788e-112,0,"ITGA4"
"MYO7A",2.47877314700715e-116,2.92352995263549,0.376,0.107,5.87122207600114e-112,0,"MYO7A"
"ARHGAP9",3.26676915383569e-114,1.46132676438319,0.732,0.382,7.7376694177752e-110,0,"ARHGAP9"
"SARDH",2.14275364573204e-113,2.64823526478645,0.318,0.076,5.07532628528091e-109,0,"SARDH"
"PSMB9",3.79268573206425e-112,1.32152518438099,0.814,0.533,8.98335542496738e-108,0,"PSMB9"
"FYB",5.91085721937004e-112,0.817857853928265,0.936,0.54,1.40004564097999e-107,0,"FYB"
"AMICA1",6.35710573093704e-112,1.70133142588755,0.504,0.183,1.50574406342975e-107,0,"AMICA1"
"GPR174",1.58134920025109e-111,1.80212956475972,0.48,0.165,3.74558371571473e-107,0,"GPR174"
"CD97",3.89084341182405e-107,1.66354051206733,0.751,0.446,9.21585170524645e-103,0,"CD97"
"CD96",1.14090201658419e-106,1.38930146918005,0.857,0.64,2.7023405164813e-102,0,"CD96"
"PAM",3.20433686800525e-106,2.13538783949165,0.522,0.21,7.58979230555723e-102,0,"PAM"
"OASL",1.40128719581912e-104,2.25906953194196,0.424,0.145,3.31908885201717e-100,0,"OASL"
"GBP2",1.31267198212285e-102,1.61752709711142,0.707,0.411,3.10919485685619e-98,0,"GBP2"
"SEPT1",3.9043530291739e-102,1.29832315799639,0.71,0.36,9.2478505849013e-98,0,"SEPT1"
"LBH",4.82240307446841e-102,1.36289053181443,0.738,0.403,1.14223439221859e-97,0,"LBH"
"RNF213",5.0834553188376e-102,1.10841490828517,0.99,0.926,1.20406722681987e-97,0,"RNF213"
"RUNX3",5.09140114999074e-102,1.4764308427198,0.627,0.286,1.20594927638681e-97,0,"RUNX3"
"ZAP70",6.03855530489601e-102,1.07591967344853,0.702,0.331,1.43029220951767e-97,0,"ZAP70"
"CCDC141",1.10155154646402e-101,2.10462460937706,0.494,0.198,2.60913499295467e-97,0,"CCDC141"
"ITGAL",9.18856846862588e-100,1.31543813191816,0.878,0.66,2.17640432747873e-95,0,"ITGAL"
"TRAT1",2.26716950469239e-98,1.7744500781791,0.47,0.176,5.3700176888144e-94,0,"TRAT1"
"ABCB1",2.67991142738921e-98,2.51203061116755,0.273,0.062,6.34763820691409e-94,0,"ABCB1"
"PTPN6",3.07508926822575e-98,1.32881384624044,0.697,0.357,7.28365644071951e-94,0,"PTPN6"
"RAC2",4.89517531046356e-98,0.909810452427708,0.906,0.56,1.1594712240364e-93,0,"RAC2"
"CORO1A",5.21996581772395e-98,0.853696284850007,0.925,0.56,1.2364011035861e-93,0,"CORO1A"
"APOBEC3C",1.11034063938346e-97,1.63879253530207,0.719,0.469,2.62995283844367e-93,0,"APOBEC3C"
"IL10RA",7.8660444414351e-94,1.4825972939163,0.66,0.337,1.86315128639832e-89,0,"IL10RA"
"TRAF5",2.18995055186736e-93,1.8306185881343,0.815,0.599,5.18711687715304e-89,0,"TRAF5"
"CCDC64",2.78417815833459e-93,2.30538288858095,0.316,0.087,6.5946043858313e-89,0,"CCDC64"
"ATXN1",5.8801573038468e-91,1.8964228337833,0.568,0.271,1.39277405898915e-86,0,"ATXN1"
"ZBED2",7.37354987964013e-91,3.20733500124249,0.251,0.058,1.74649902449156e-86,0,"ZBED2"
"TAP1",2.5224661139337e-90,1.25454955164475,0.818,0.576,5.97471323746337e-86,0,"TAP1"
"RGS2",2.78645758317889e-90,2.2373803906746,0.599,0.329,6.60000343151752e-86,0,"RGS2"
"GIMAP4",8.91325431971683e-90,1.12410330363953,0.682,0.347,2.11119341816813e-85,0,"GIMAP4"
"CSF1",1.36030407109349e-89,2.47027717367166,0.348,0.112,3.22201622279205e-85,0,"CSF1"
"RNF19A",7.75830308759643e-89,1.58951782436759,0.754,0.498,1.83763166932809e-84,0,"RNF19A"
"INPP4B",1.52748272130781e-87,1.37976606943772,0.702,0.394,3.61799557368969e-83,0,"INPP4B"
"ICOS",2.23001655000292e-87,1.52744636807542,0.415,0.146,5.28201720033691e-83,0,"ICOS"
"GFOD1",2.36917590244908e-87,2.63389734213438,0.29,0.08,5.61163004254089e-83,0,"GFOD1"
"IGFLR1",5.19620146836113e-87,1.70683609560057,0.55,0.273,1.23077227979602e-82,0,"IGFLR1"
"RASSF5",1.2656974832649e-86,1.60850536546385,0.557,0.271,2.99793105886125e-82,0,"RASSF5"
"WIPF1",8.13560705849568e-86,1.18621357409929,0.838,0.601,1.92699988787529e-81,0,"WIPF1"
"CD247",1.57882248732999e-85,1.15448645686595,0.553,0.239,3.73959894348982e-81,0,"CD247"
"EVL",4.80605431172484e-85,0.943727147059648,0.753,0.426,1.13836202427515e-80,0,"EVL"
"IFITM1",5.32252487708982e-85,0.794064751560718,0.909,0.633,1.26069324238749e-80,0,"IFITM1"
"LCP1",9.30845035241365e-85,0.757452648890081,0.911,0.565,2.2047995504727e-80,0,"LCP1"
"RAB27A",2.95562538689367e-84,1.65763247060167,0.955,0.889,7.00069429139636e-80,0,"RAB27A"
"THEMIS",6.40830594713677e-84,1.62756254250601,0.457,0.185,1.51787134663882e-79,0,"THEMIS"
"ITGB2",2.7254009726613e-83,0.853377696584861,0.805,0.459,6.45538474384555e-79,0,"ITGB2"
"CHST12",1.92219034639659e-82,2.09890949656392,0.476,0.224,4.55290005447497e-78,0,"CHST12"
"MAP4K1",3.59577369328392e-81,1.33281200406433,0.645,0.354,8.5169495699123e-77,0,"MAP4K1"
"NLRC5",4.83701258524732e-81,1.16066931281483,0.765,0.474,1.14569480094168e-76,0,"NLRC5"
"SPN",2.54449677047345e-79,0.986715110085181,0.982,0.951,6.02689505054341e-75,0,"SPN"
"DOCK8",1.17042010431063e-78,1.14623137512469,0.748,0.444,2.77225705907017e-74,0,"DOCK8"
"JAK3",1.38064632011643e-77,0.973596256753811,0.952,0.873,3.27019887382777e-73,0,"JAK3"
"ENTPD1",1.77955116157171e-77,1.57002145086042,0.982,0.959,4.21504488129876e-73,0,"ENTPD1"
"NELL2",2.76018067518421e-77,1.71750333163611,0.374,0.136,6.53776394724132e-73,0,"NELL2"
"SKAP1",2.21487262958388e-76,1.26931498007634,0.572,0.279,5.24614731043239e-72,0,"SKAP1"
"CXCR3",7.94415531441093e-76,1.47483537672957,0.435,0.176,1.88165262777137e-71,0,"CXCR3"
"UBASH3A",1.38476169591979e-75,1.80459476382219,0.387,0.144,3.27994655295563e-71,0,"UBASH3A"
"SLFN11",3.15993833371373e-75,1.37921160798303,0.441,0.175,7.48462993723433e-71,0,"SLFN11"
"HLA-G",2.81204946899475e-74,0.86206432733672,0.899,0.713,6.66062037226098e-70,0,"HLA-G"
"ITK",4.15783338185581e-74,1.19908773193242,0.565,0.271,9.84824414826367e-70,0,"ITK"
"RALGDS",1.01844914919176e-73,1.94936314740107,0.563,0.305,2.4122986547756e-69,0,"RALGDS"
"DUSP4",7.3760953822457e-73,1.43778600391025,0.674,0.409,1.74710195223872e-68,0,"DUSP4"
"HLA-E",5.49279098189472e-72,0.605031358242535,0.994,0.942,1.30102247197158e-67,0,"HLA-E"
"STK17B",1.50369309658076e-70,0.636411041563112,0.965,0.797,3.56164746856118e-66,0,"STK17B"
"TMSB4X",9.11772889990926e-70,0.600398747929848,1,0.818,2.15962526723251e-65,0,"TMSB4X"
"APOBEC3D",1.03569003205078e-69,1.32990038950368,0.899,0.797,2.45313540991547e-65,0,"APOBEC3D"
"SLC38A1",1.31518628224346e-69,0.882176883404401,0.775,0.47,3.11515022812185e-65,0,"SLC38A1"
"COTL1",2.29638787831777e-69,1.13391234150968,0.82,0.615,5.43922432858346e-65,0,"COTL1"
"SLA2",2.33910799102492e-68,1.88783360610198,0.733,0.539,5.54041118754162e-64,0,"SLA2"
"PVRIG",8.51347169527412e-67,1.40126934731926,0.533,0.279,2.01650090574263e-62,0,"PVRIG"
"CRTAM",1.29513363778455e-66,3.00289341679711,0.706,0.508,3.06765353445649e-62,0,"CRTAM"
"MIAT",2.2113676701589e-66,1.32649549698274,0.477,0.224,5.23784546353836e-62,0,"MIAT"
"MSN",2.99988822458175e-66,0.980660478790559,0.878,0.757,7.10553524874433e-62,0,"MSN"
"GIMAP6",4.14890473939194e-66,1.61419680028665,0.458,0.218,9.82709576572376e-62,0,"GIMAP6"
"SLAMF7",4.24865450694988e-66,1.50768467745324,0.793,0.645,1.00633630651615e-61,0,"SLAMF7"
"AKNA",1.16495629157057e-65,0.911350980029737,0.866,0.666,2.75931547221406e-61,0,"AKNA"
"CD6",2.46130333385433e-65,0.977264311183451,0.485,0.217,5.82984307656738e-61,0,"CD6"
"DFNB31",4.15226290353616e-65,2.2361679751437,0.398,0.177,9.83504991331575e-61,0,"DFNB31"
"ADORA2A",7.20799684415641e-64,1.89861970088378,0.327,0.121,1.70728613250689e-59,0,"ADORA2A"
"HLA-F",9.98810377563129e-64,0.96503525172593,0.941,0.769,2.36578226029603e-59,0,"HLA-F"
"SLAMF6",1.48722028197824e-63,1.56837837794772,0.685,0.454,3.52262995989366e-59,0,"SLAMF6"
"RASGRP1",2.62812674067863e-63,1.42371208934894,0.47,0.225,6.22498099797141e-59,0,"RASGRP1"
"PARP8",6.86159347699638e-63,1.34867123042843,0.608,0.341,1.62523703096136e-58,0,"PARP8"
"RASAL3",8.11294768364347e-63,1.20146739900362,0.444,0.197,1.92163278834779e-58,0,"RASAL3"
"C16orf54",1.05876166734105e-62,0.769242985239428,0.834,0.63,2.507782885264e-58,0,"C16orf54"
"GALM",1.07980717350501e-62,1.55728176397391,0.83,0.675,2.55763127116397e-58,0,"GALM"
"SPATA13",3.82203956486787e-62,1.40888191813735,0.815,0.643,9.05288291334605e-58,0,"SPATA13"
"LINC00152",9.77109506735465e-62,1.0378843720808,0.635,0.377,2.31438157765362e-57,0,"LINC00152"
"ETV1",2.41371830739017e-61,2.4178440080848,0.358,0.147,5.71713318288436e-57,0,"ETV1"
"ABI3",5.64323903873304e-61,1.55989927785592,0.406,0.18,1.33665759871431e-56,0,"ABI3"
"TNFAIP3",1.76403803017655e-60,0.530349824953903,0.741,0.458,4.17830047827618e-56,0,"TNFAIP3"
"PARVG",1.80296481972973e-60,1.16557751953854,0.546,0.29,4.27050247201183e-56,0,"PARVG"
"SEMA4A",6.69823553043257e-59,2.52878511616071,0.274,0.098,1.58654406773826e-54,0,"SEMA4A"
"MCTP2",1.43709398827668e-58,1.66389975978217,0.769,0.617,3.40390082063215e-54,0,"MCTP2"
"ARAP2",1.53816934870467e-58,1.42649459468592,0.49,0.249,3.64330791934188e-54,0,"ARAP2"
"ARPC2",7.82794861083322e-58,0.656998825769124,0.942,0.869,1.85412790796196e-53,0,"ARPC2"
"TBC1D10C",1.15257630960945e-57,0.913994309146224,0.627,0.359,2.72999224694094e-53,0,"TBC1D10C"
"ASXL2",1.37583574538725e-57,1.96626779583749,0.521,0.302,3.25880454652425e-53,0,"ASXL2"
"SP140",3.08024413950249e-57,1.08334974728285,0.521,0.266,7.2958662688256e-53,0,"SP140"
"GIMAP7",3.75093941934856e-57,0.775815454160048,0.615,0.335,8.88447510866901e-53,0,"GIMAP7"
"TRAF1",2.62270916207012e-56,1.2962674171718,0.445,0.213,6.21214892127929e-52,0,"TRAF1"
"CDC42SE2",3.64484926928646e-56,0.839216131221073,0.823,0.615,8.6331899792319e-52,0,"CDC42SE2"
"AKAP5",4.65639691526865e-56,1.92027082007715,0.893,0.805,1.10291417335053e-51,0,"AKAP5"
"NAB1",4.9333005016624e-56,2.17859526279485,0.424,0.212,1.16850155682376e-51,0,"NAB1"
"ITGB7",8.820097936937e-55,2.071171344476,0.333,0.139,2.0891283973429e-50,0,"ITGB7"
"TRAF3IP3",1.2714628518413e-54,0.92183913129823,0.628,0.369,3.0115869108713e-50,0,"TRAF3IP3"
"HCP5",1.30466310352102e-54,1.50728318096669,0.486,0.263,3.0902250269999e-50,0,"HCP5"
"BCL11B",2.12128038325842e-54,0.792182932295351,0.506,0.249,5.0244647157859e-50,0,"BCL11B"
"PCED1B-AS1",1.51382555150394e-53,0.985313220296699,0.817,0.653,3.58564720129224e-49,0,"PCED1B-AS1"
"HOPX",1.65710086697224e-53,2.02279077285092,0.265,0.097,3.92500911351044e-49,0,"HOPX"
"TRIM22",1.90699695024066e-53,0.867000745352194,0.731,0.489,4.51691297634002e-49,0,"TRIM22"
"HCLS1",8.09463518412575e-53,0.849923393621035,0.731,0.473,1.91729528971203e-48,0,"HCLS1"
"SASH3",1.00594030869755e-52,0.971509458788212,0.617,0.365,2.38267021518101e-48,0,"SASH3"
"CRIM1",1.28533302968752e-52,1.92437593719158,0.349,0.152,3.04443981411786e-48,0,"CRIM1"
"SH3BGRL3",2.76149169606785e-52,0.548085927988073,0.961,0.88,6.54086923130631e-48,0,"SH3BGRL3"
"ACAP1",6.63110662098602e-52,0.929431075610762,0.622,0.368,1.57064391424675e-47,0,"ACAP1"
"BTN3A2",8.80086777349958e-52,1.1168524861978,0.885,0.767,2.08457354083111e-47,0,"BTN3A2"
"HNRPLL",3.80501114436465e-51,1.68154794550265,0.556,0.341,9.0125493965421e-47,0,"HNRPLL"
"PTGER4",5.98115724198749e-51,1.11101149183315,0.475,0.247,1.41669690433716e-46,0,"PTGER4"
"GPRIN3",1.39651111291549e-50,1.44340054889877,0.448,0.234,3.30777622205163e-46,0,"GPRIN3"
"CRIP1",1.60439025307602e-50,0.685851595391643,0.623,0.359,3.80015875343586e-46,0,"CRIP1"
"ARHGAP30",1.71564413516054e-50,1.08410152563242,0.577,0.342,4.06367469854125e-46,0,"ARHGAP30"
"EVI2B",1.73975290814396e-50,0.873115984577387,0.667,0.415,4.12077873822978e-46,0,"EVI2B"
"FUT8",2.01686152399819e-50,1.67030451330337,0.458,0.239,4.77713820574211e-46,0,"FUT8"
"APOBEC3F",2.3719286533637e-50,1.10142619667221,0.922,0.857,5.61815020835726e-46,0,"APOBEC3F"
"ITGAE",3.64157769045242e-50,2.49292765734592,0.487,0.297,8.62544091760559e-46,0,"ITGAE"
"UBC",7.94447105345428e-50,0.682312689640776,0.974,0.943,1.88172741372118e-45,0,"UBC"
"SAMSN1",1.37600520852542e-49,1.16303030385194,0.508,0.274,3.25920593691331e-45,0,"SAMSN1"
"CYTIP",1.44594454143225e-49,0.66642705156736,0.713,0.439,3.42486424083644e-45,0,"CYTIP"
"SLFN13",1.84166183146617e-49,1.32873774094899,0.715,0.558,4.36216021401077e-45,0,"SLFN13"
"TRERF1",7.78923187517725e-49,1.35592627812976,0.396,0.19,1.84495746195448e-44,0,"TRERF1"
"GBP4",4.24053448420486e-48,1.20413186342241,0.913,0.845,1.00441299792876e-43,0,"GBP4"
"ST6GALNAC6",5.09861036336374e-48,1.55078829103558,0.381,0.185,1.20765685066634e-43,0,"ST6GALNAC6"
"IPCEF1",6.79626448459324e-48,1.32772173271533,0.664,0.475,1.60976320582076e-43,0,"IPCEF1"
"CNOT6L",7.72139020065521e-48,1.16969586104332,0.619,0.416,1.82888848292719e-43,0,"CNOT6L"
"EZR",1.04086231180965e-47,0.777956711357838,0.847,0.698,2.46538647175233e-43,0,"EZR"
"EMB",1.85576410629243e-47,0.907779976333183,0.618,0.382,4.39556286216425e-43,0,"EMB"
"BTN3A1",3.32963623484284e-47,1.3552420237173,0.735,0.538,7.88657638584875e-43,0,"BTN3A1"
"SEMA4D",3.50705857997512e-47,1.09791650428821,0.604,0.377,8.30681895252907e-43,0,"SEMA4D"
"LOC100190986",4.91205807474778e-47,0.851921924522973,0.949,0.9,1.16347007558476e-42,0,"LOC100190986"
"PPP1R16B",4.91382515418992e-47,1.40432149404059,0.361,0.164,1.16388862602143e-42,0,"PPP1R16B"
"XAF1",5.13622370966227e-47,0.951960549635725,0.967,0.913,1.21656594787061e-42,0,"XAF1"
"TNIP3",5.72860215739895e-47,2.95142820395014,0.452,0.269,1.35687670700151e-42,0,"TNIP3"
"NLRC3",2.44991394543087e-46,0.895569599909076,0.909,0.833,5.80286617114755e-42,0,"NLRC3"
"GIMAP5",3.08847901735482e-46,0.798004006558047,0.53,0.289,7.31537140050663e-42,0,"GIMAP5"
"STAT1",1.24553866961294e-45,0.96664425869026,0.785,0.655,2.95018289284522e-41,0,"STAT1"
"HLA-J",1.5133052966179e-45,0.660857159268096,0.856,0.653,3.58441492556917e-41,0,"HLA-J"
"CELF2",3.59278453990109e-45,0.844267512820684,0.852,0.704,8.50986946120973e-41,0,"CELF2"
"DOK2",6.67449389672851e-45,1.00501416233307,0.437,0.221,1.58092062437912e-40,0,"DOK2"
"PAG1",7.64999731890703e-45,1.20644701106134,0.879,0.768,1.81197836495632e-40,0,"PAG1"
"TAPBP",2.74314659588398e-44,0.581994162762878,0.993,0.988,6.4974170270108e-40,0,"TAPBP"
"KIAA1551",5.42065105878844e-44,0.87464344863186,0.747,0.588,1.28393540978463e-39,0,"KIAA1551"
"PSME1",2.6075075587485e-43,0.615828439331995,0.923,0.849,6.1761424036517e-39,0,"PSME1"
"ATP8A1",2.77782123912161e-43,1.61498657174011,0.374,0.187,6.57954738698344e-39,0,"ATP8A1"
"DGKZ",3.37222200965241e-43,1.55924947085563,0.42,0.228,7.98744505206269e-39,0,"DGKZ"
"ANKRD32",4.36538941519497e-43,1.92645791274525,0.333,0.162,1.03398613688308e-38,0,"ANKRD32"
"LOC100506776",2.16767850799049e-42,1.79789858219544,0.635,0.462,5.13436331402627e-38,0,"LOC100506776"
