"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NKG7",0,2.89194336646762,0.985,0.196,0,0,"NKG7"
"CD8A",0,3.43425301488157,0.981,0.21,0,0,"CD8A"
"KLRK1",0,2.89580933439743,0.939,0.196,0,0,"KLRK1"
"CST7",0,2.51154297825534,0.931,0.242,0,0,"CST7"
"CCL4",0,2.79604549400323,0.887,0.2,0,0,"CCL4"
"PRF1",0,2.84111809608278,0.902,0.224,0,0,"PRF1"
"CD8B",0,3.02011123468715,0.812,0.135,0,0,"CD8B"
"CCL4L1",0,4.33305278929834,0.796,0.149,0,0,"CCL4L1"
"CCL4L2",0,4.33330784046365,0.796,0.149,0,0,"CCL4L2"
"GZMA",0,2.22033851315862,0.827,0.19,0,0,"GZMA"
"PDCD1",0,2.91791062844222,0.762,0.15,0,0,"PDCD1"
"TIGIT",0,2.59067062000511,0.815,0.217,0,0,"TIGIT"
"CTSW",0,2.39074598051726,0.75,0.158,0,0,"CTSW"
"LAG3",0,3.33922513457306,0.631,0.094,0,0,"LAG3"
"IFNG",0,3.27008368475978,0.565,0.088,0,0,"IFNG"
"CCL5",0,2.70804456592652,1,0.961,0,0,"CCL5"
"GZMK",1.51499177660056e-312,2.37554248305248,0.738,0.174,3.5884095220561e-308,0,"GZMK"
"CXCL13",8.2718598702991e-303,2.37969719555197,0.499,0.068,1.95927272887904e-298,0,"CXCL13"
"TOX",4.96005739707852e-298,2.49771400911664,0.753,0.2,1.17483919507202e-293,0,"TOX"
"CCL3",4.0075355931325e-294,2.76889949858282,0.591,0.112,9.49224880589364e-290,0,"CCL3"
"CD2",4.68990372318462e-286,1.81185825335731,0.952,0.361,1.11085059587351e-281,0,"CD2"
"CD27",8.45118617855785e-275,2.14298587481648,0.83,0.281,2.00174795825321e-270,0,"CD27"
"KLRC4",2.81727707847627e-273,2.89387205421344,0.546,0.1,6.6730024880789e-269,0,"KLRC4"
"VCAM1",1.56939513225722e-263,3.93216869285678,0.467,0.075,3.71726931026444e-259,0,"VCAM1"
"CCL3L3",1.41843468800253e-257,3.40091352492813,0.467,0.074,3.3597044020028e-253,0,"CCL3L3"
"IL2RB",1.00577197530039e-254,1.95389926128827,0.789,0.251,2.3822715006965e-250,0,"IL2RB"
"SIRPG",1.53446745506184e-254,2.24718553690473,0.721,0.209,3.63453961405948e-250,0,"SIRPG"
"HAVCR2",5.23763862814621e-253,3.4311471778034,0.927,0.683,1.24058708546271e-248,0,"HAVCR2"
"CBLB",7.88101134480605e-253,2.39393612283727,0.899,0.457,1.86669634713076e-248,0,"CBLB"
"CD3D",3.81786692382999e-250,1.62439784922574,0.938,0.36,9.04299959578372e-246,0,"CD3D"
"CXCR6",6.62834723835533e-250,2.95558706594902,0.541,0.111,1.56999032687684e-245,0,"CXCR6"
"LYST",2.20807681775504e-248,2.34729237430573,0.926,0.537,5.23005075053459e-244,0,"LYST"
"ITM2A",4.327256831062e-246,2.1150327957321,0.796,0.283,1.02495405300534e-241,0,"ITM2A"
"DTHD1",4.72084481307749e-237,2.99939350052613,0.539,0.119,1.11817930242554e-232,0,"DTHD1"
"CD3E",4.3549375724814e-235,1.6469332787564,0.92,0.363,1.03151051341794e-230,0,"CD3E"
"IL32",2.54203454915728e-230,1.37074715258836,0.969,0.435,6.02106303313393e-226,0,"IL32"
"GZMB",3.93000433452828e-224,2.6764717600869,0.499,0.1,9.30860826676368e-220,0,"GZMB"
"CD7",6.44023793627363e-219,2.1085384384248,0.691,0.21,1.52543475758577e-214,0,"CD7"
"FCRL3",2.30320744290806e-216,2.3333307917116,0.619,0.17,5.45537714927203e-212,0,"FCRL3"
"PRKCH",1.11487874726771e-212,1.94948436855583,0.82,0.332,2.64070180077829e-208,0,"PRKCH"
"GZMH",9.41404146561758e-211,2.21436402294617,0.491,0.1,2.22980986154618e-206,0,"GZMH"
"TNFRSF9",7.21504606538795e-206,3.61573465074301,0.958,0.825,1.70895581104779e-201,0,"TNFRSF9"
"FASLG",2.09214063952158e-204,3.21699157926253,0.399,0.068,4.95544431877082e-200,0,"FASLG"
"ID2",1.74658737774648e-195,2.19005606265961,0.793,0.386,4.13696686293031e-191,0,"ID2"
"IL2RG",5.70376290427734e-195,1.46291965953624,0.93,0.474,1.35099328150713e-190,0,"IL2RG"
"IKZF3",8.85159892536058e-195,1.52718375052567,0.999,0.967,2.09658972146091e-190,0,"IKZF3"
"PTPRCAP",3.13872753979786e-188,1.41304302441473,0.938,0.512,7.43439005076521e-184,0,"PTPRCAP"
