"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FBXL2",9.68294243998979e-45,2.48033748384007,0.257,0.073,2.29350174633598e-40,3,"FBXL2"
"DNAH14",9.92847214681558e-45,2.16613713420164,0.357,0.132,2.35165791269474e-40,3,"DNAH14"
"CAMTA1",1.02092533753856e-44,0.884256145623189,0.669,0.348,2.41816375449383e-40,3,"CAMTA1"
"SECISBP2L",1.11167442392138e-44,0.810506919009026,0.679,0.35,2.63311204050018e-40,3,"SECISBP2L"
"IFT81",1.12732854885626e-44,1.75123389265619,0.552,0.333,2.67019040082094e-40,3,"IFT81"
"KRT8",1.13425171117525e-44,0.830865044620421,0.536,0.226,2.68658860308969e-40,3,"KRT8"
"NSFL1C",1.20756851699074e-44,0.830126669277358,0.657,0.326,2.86024678934427e-40,3,"NSFL1C"
"STIP1",1.93182470901923e-44,0.76177437544094,0.789,0.429,4.57572000578295e-40,3,"STIP1"
"TMEM230",1.93212503100934e-44,0.705433045430021,0.873,0.496,4.57643134844872e-40,3,"TMEM230"
"SLC39A7",2.24508170795016e-44,1.05003570185483,0.532,0.234,5.31770053345075e-40,3,"SLC39A7"
"PIGK",2.51093050130443e-44,1.26287586944298,0.448,0.186,5.94738998538966e-40,3,"PIGK"
"CLTA",2.75543994750626e-44,0.745290984255432,0.825,0.461,6.52653505966333e-40,3,"CLTA"
"CAT",3.19671822416421e-44,0.847367202762484,0.645,0.318,7.57174678575535e-40,3,"CAT"
"KCTD10",3.50864525903316e-44,1.11754462548135,0.673,0.436,8.31057716054594e-40,3,"KCTD10"
"ACTN41",3.56725701404024e-44,0.680460989613396,0.869,0.512,8.44940496345571e-40,3,"ACTN4"
"NRBP2",3.84881595300072e-44,1.80562836744524,0.331,0.112,9.1163054662775e-40,3,"NRBP2"
"DOCK5",3.92197507058759e-44,1.74315207465954,0.325,0.107,9.28959015219377e-40,3,"DOCK5"
"PFKL",3.92858237691756e-44,0.714061664089052,0.815,0.454,9.30524021796693e-40,3,"PFKL"
"ETF1",4.44691483725717e-44,0.785703415837026,0.755,0.424,1.05329624835273e-39,3,"ETF1"
"HMGN5",4.93149816461174e-44,1.91732967969618,0.283,0.085,1.16807465526994e-39,3,"HMGN5"
"NFIA",5.12224432823825e-44,0.869082264195432,0.5,0.208,1.21325479158651e-39,3,"NFIA"
"HSD17B11",5.22751164116629e-44,0.779390065628802,0.693,0.343,1.23818840732665e-39,3,"HSD17B11"
"SUPT4H1",5.38230132064873e-44,0.793673516545328,0.735,0.381,1.27485189080886e-39,3,"SUPT4H1"
"BSG",6.82431353522976e-44,0.674223845006419,0.936,0.583,1.61640690395452e-39,3,"BSG"
"BCL6",8.28243266650967e-44,0.909792813847293,0.568,0.258,1.96177700138948e-39,3,"BCL6"
"TMEM179B",9.54511201981697e-44,0.787672607083775,0.741,0.385,2.26085523301385e-39,3,"TMEM179B"
"RERE",1.06693360822445e-43,0.657213530597345,0.719,0.379,2.52713894444044e-39,3,"RERE"
"SERINC1",1.07101664339347e-43,0.563637391200859,0.952,0.763,2.53681002154177e-39,3,"SERINC1"
"ABHD16A",1.15098158073068e-43,1.0612612665378,0.538,0.247,2.7262149721187e-39,3,"ABHD16A"
"FRMD4A",1.36541421423832e-43,1.45023818846149,0.396,0.15,3.23412010784489e-39,3,"FRMD4A"
"FAM229B",1.411095617008e-43,1.89813127118209,0.506,0.284,3.34232107844515e-39,3,"FAM229B"
"AMD1",1.563591764543e-43,0.763055030278037,0.771,0.43,3.70352345349655e-39,3,"AMD1"
"SMIM3",1.60900133249321e-43,1.59558440046271,0.307,0.096,3.81108055614341e-39,3,"SMIM3"
"FAHD2B",1.95007005112927e-43,1.31238262413902,0.448,0.186,4.61893592310479e-39,3,"FAHD2B"
"LYRM5",2.36363430487857e-43,1.24594093172663,0.39,0.144,5.59850421453537e-39,3,"LYRM5"
"GNAI1",3.02559756700207e-43,1.9152619522194,0.301,0.096,7.16643039720111e-39,3,"GNAI1"
"NEDD4L",3.1146101165756e-43,1.51783054936028,0.661,0.458,7.37726552212096e-39,3,"NEDD4L"
"TUBG2",3.12186768862695e-43,1.36711457294242,0.438,0.183,7.39445580728179e-39,3,"TUBG2"
"DHX40",3.79888188218412e-43,1.15574765675568,0.478,0.207,8.99803162614132e-39,3,"DHX40"
"TXNRD1",3.8145383574993e-43,0.978436722867976,0.57,0.271,9.03511555357284e-39,3,"TXNRD1"
"USP32",4.56018783656046e-43,1.09245903286246,0.48,0.209,1.08012609096771e-38,3,"USP32"
"ARHGAP51",4.81138719896179e-43,0.911201986515908,0.59,0.288,1.13962517194609e-38,3,"ARHGAP5"
"EIF3C",4.97654151512816e-43,0.606395793257496,0.932,0.622,1.17874362327326e-38,3,"EIF3C"
"FARP1",5.33377414994898e-43,1.57748370779475,0.386,0.148,1.26335774515691e-38,3,"FARP1"
"PLA2G6",5.84006687877709e-43,1.18081243671367,0.442,0.178,1.38327824090714e-38,3,"PLA2G6"
