gene,cancer,protein_detected,detected_fraction,total_patients,rna_log2fc,tumor_log2tpm_mean,normal_log2tpm_mean,gene_length,gene_type,protein_coding,high_rna,discordant
HAGH,BRCA,0,0.4444444444444444,9,0.2808833122253418,5.574251651763916,5.293368339538574,31575.0,protein_coding,1.0,True,True
CNN2,BRCA,0,0.0,12,-0.1454935073852539,6.2789082527160645,6.424401760101318,12488.0,protein_coding,1.0,True,True
BTBD1,BRCA,0,0.5,10,0.3765697479248047,4.86566686630249,4.4890971183776855,50933.0,protein_coding,1.0,True,True
SLC9A3R2,BRCA,0,0.0909090909090909,11,-0.7130227088928223,6.444993019104004,7.158015727996826,13671.0,protein_coding,1.0,True,True
MYLK,BRCA,0,0.0,11,-1.4309430122375488,4.803714275360107,6.234657287597656,274283.0,protein_coding,1.0,True,True
MTHFD2,BRCA,0,0.4166666666666667,12,0.7697134017944336,5.980827331542969,5.211113929748535,19004.0,protein_coding,1.0,True,True
PLPP1,BRCA,0,0.0,12,-2.10837459564209,4.851034641265869,6.959409236907959,,,,True,True
TRAM1,BRCA,0,0.4545454545454545,11,0.986802577972412,6.9059600830078125,5.9191575050354,34946.0,protein_coding,1.0,True,True
ROGDI,BRCA,0,0.0909090909090909,11,1.477269411087036,5.356900215148926,3.8796308040618896,5983.0,protein_coding,1.0,True,True
HYAL2,BRCA,0,0.0,10,-1.006744384765625,5.253190517425537,6.259934902191162,5117.0,protein_coding,1.0,True,True
PLEKHH3,BRCA,0,0.3,10,-0.0737757682800293,4.813161849975586,4.886937618255615,9081.0,protein_coding,1.0,True,True
SIRT2,BRCA,0,0.3333333333333333,12,-0.5185928344726562,5.084479808807373,5.603072643280029,21308.0,protein_coding,1.0,True,True
UFD1,BRCA,0,0.25,12,0.5664196014404297,5.960894107818604,5.394474506378174,,,,True,True
DGCR2,BRCA,0,0.0,10,0.4732861518859863,5.255309581756592,4.7820234298706055,86173.0,protein_coding,1.0,True,True
GBA2,BRCA,0,0.0,10,-1.2902956008911133,4.915019035339356,6.205314636230469,12363.0,protein_coding,1.0,True,True
BUD23,BRCA,0,0.0909090909090909,11,0.8234343528747559,6.568815231323242,5.745380878448486,,,,True,True
FAM3A,BRCA,0,0.5,10,-0.3580765724182129,4.833043098449707,5.19111967086792,10084.0,protein_coding,1.0,True,True
RDH11,BRCA,0,0.0,10,1.1237659454345703,5.512109279632568,4.388343334197998,19014.0,protein_coding,1.0,True,True
PTPN18,BRCA,0,0.0,11,-0.0411133766174316,5.54181718826294,5.582930564880371,19403.0,protein_coding,1.0,True,True
ALDH3A2,BRCA,0,0.3333333333333333,12,-0.0695161819458007,4.94005012512207,5.009566307067871,29463.0,protein_coding,1.0,True,True
SREBF1,BRCA,0,0.1666666666666666,12,0.5389041900634766,7.055859565734863,6.516955375671387,26604.0,protein_coding,1.0,True,True
SCARB1,BRCA,0,0.1,10,-0.8917088508605957,5.348493576049805,6.2402024269104,105813.0,protein_coding,1.0,True,True
NTN4,BRCA,0,0.0,11,-0.3658990859985351,4.784488677978516,5.150387763977051,133346.0,protein_coding,1.0,True,True
SRI,BRCA,0,0.5,12,0.2971205711364746,6.929227352142334,6.632106781005859,21876.0,protein_coding,1.0,True,True
FOSL2,BRCA,0,0.4545454545454545,11,-1.04313325881958,4.953983306884766,5.997116565704346,24865.0,protein_coding,1.0,True,True
FSCN1,BRCA,0,0.0833333333333333,12,0.3161520957946777,4.898433685302734,4.582281589508057,13833.0,protein_coding,1.0,True,True
EXOSC7,BRCA,0,0.0909090909090909,11,0.0636487007141113,5.0171380043029785,4.953489303588867,60826.0,protein_coding,1.0,True,True
NT5C2,BRCA,0,0.4545454545454545,11,-0.4500832557678222,4.775730609893799,5.225813865661621,105290.0,protein_coding,1.0,True,True
MCAM,BRCA,0,0.25,12,-2.2490925788879395,5.266149997711182,7.515242576599121,12993.0,protein_coding,1.0,True,True
EXOSC5,BRCA,0,0.0,10,0.9733548164367676,4.77057409286499,3.797219276428223,11106.0,protein_coding,1.0,True,True
PIK3C3,BRCA,0,0.1818181818181818,11,0.311650276184082,5.080887794494629,4.769237518310547,132625.0,protein_coding,1.0,True,True
GNB1,BRCA,0,0.1818181818181818,11,0.5700469017028809,7.427770137786865,6.857723236083984,105833.0,protein_coding,1.0,True,True
VDAC3,BRCA,0,0.5,12,0.8699631690979004,6.818530559539795,5.948567390441895,14274.0,protein_coding,1.0,True,True
PCM1,BRCA,0,0.4545454545454545,11,0.1985387802124023,5.958752632141113,5.760213851928711,107105.0,protein_coding,1.0,True,True
SDF4,BRCA,0,0.4545454545454545,11,-0.0227375030517578,6.40789794921875,6.430635452270508,15124.0,protein_coding,1.0,True,True
SAR1A,BRCA,0,0.4444444444444444,9,0.3652710914611816,5.906712532043457,5.541441440582275,23235.0,protein_coding,1.0,True,True
FDFT1,BRCA,0,0.5,10,0.3309283256530761,6.563807964324951,6.232879638671875,43737.0,protein_coding,1.0,True,True
PGM1,BRCA,0,0.3,10,-0.4658570289611816,4.963371753692627,5.429228782653809,66970.0,protein_coding,1.0,True,True
CLDND1,BRCA,0,0.4545454545454545,11,-0.671302318572998,5.292173385620117,5.963475704193115,25155.0,protein_coding,1.0,True,True
HSP90AA1,BRCA,0,0.25,12,1.264286994934082,9.066162109375,7.801875114440918,58962.0,protein_coding,1.0,True,True
HSPB11,BRCA,0,0.5,12,0.6652746200561523,4.972507476806641,4.307232856750488,29356.0,protein_coding,1.0,True,True
BZW1,BRCA,0,0.3333333333333333,9,1.157926082611084,7.215950489044189,6.0580244064331055,16745.0,protein_coding,1.0,True,True
PLOD1,BRCA,0,0.0,11,0.7907443046569824,6.222511291503906,5.431766986846924,41334.0,protein_coding,1.0,True,True
CHMP2B,BRCA,0,0.4545454545454545,11,0.4056305885314941,4.934020519256592,4.528389930725098,28278.0,protein_coding,1.0,True,True
CD82,BRCA,0,0.2,10,0.6184110641479492,5.453578948974609,4.83516788482666,55937.0,protein_coding,1.0,True,True
AKR1B1,BRCA,0,0.0,11,-0.9792366027832032,4.958878517150879,5.938115119934082,16935.0,protein_coding,1.0,True,True
CPNE3,BRCA,0,0.5,12,1.2270455360412598,5.713736534118652,4.486690998077393,76669.0,protein_coding,1.0,True,True
CHMP5,BRCA,0,0.25,12,0.554049015045166,6.205879211425781,5.651830196380615,17191.0,protein_coding,1.0,True,True
FTL,BRCA,0,0.4545454545454545,11,-0.2977790832519531,11.385814666748049,11.68359375,1578.0,protein_coding,1.0,True,True
PIGS,BRCA,0,0.2727272727272727,11,0.4515523910522461,5.438358306884766,4.98680591583252,18490.0,protein_coding,1.0,True,True
MMP2,BRCA,0,0.0,12,-0.9250116348266602,7.315118789672852,8.240130424499512,116992.0,protein_coding,1.0,True,True
ADD1,BRCA,0,0.3,10,-0.5789852142333984,6.573266506195068,7.152251720428467,86220.0,protein_coding,1.0,True,True
EPB41L1,BRCA,0,0.4166666666666667,12,0.5207009315490723,5.194432735443115,4.673731803894043,141296.0,protein_coding,1.0,True,True
DOCK9,BRCA,0,0.3333333333333333,12,-1.0576415061950684,4.886241436004639,5.943882942199707,293139.0,protein_coding,1.0,True,True
FKBP1A,BRCA,0,0.0909090909090909,11,0.0101823806762695,7.634702205657959,7.6245198249816895,24195.0,protein_coding,1.0,True,True
GRAMD1A,BRCA,0,0.4166666666666667,12,-0.0632672309875488,5.852471351623535,5.915738582611084,31688.0,protein_coding,1.0,True,True
