gene,location_raw,location
RUVBL2,Cytosol,Cytosol
RUVBL2,Nucleoplasm,Nucleoplasm
RUVBL2,Basal body,Basal_body
RUVBL2,Centrosome,Centrosome
GDPGP1,Cytosol,Cytosol
RIMBP3C,Plasma membrane,Plasma_membrane
RIMBP3C,Vesicles,Vesicles
PRR36,Golgi apparatus,Golgi_apparatus
PRR36,Nuclear speckles,Nuclear_speckles
PRR36,Nucleoplasm,Nucleoplasm
PTTG1IP,Nucleoplasm,Nucleoplasm
DDX41,Nucleoplasm,Nucleoplasm
DDX41,Nucleoli,Nucleoli
ABHD16B,Nucleoplasm,Nucleoplasm
PLGLB1,Vesicles,Vesicles
PLGLB1,Predicted to be secreted,Predicted_to_be_secreted
DAZAP2,Nuclear speckles,Nuclear_speckles
CCBE1,Cytosol,Cytosol
CCBE1,Plasma membrane,Plasma_membrane
CCBE1,Predicted to be secreted,Predicted_to_be_secreted
FAM9A,Mid piece,Mid_piece
TMEM121B,Vesicles,Vesicles
TMEM121B,Nucleoplasm,Nucleoplasm
TMEM121B,Plasma membrane,Plasma_membrane
ZNF623,Nucleoplasm,Nucleoplasm
CCDC125,Intermediate filaments,Intermediate_filaments
CCDC125,Nuclear membrane,Nuclear_membrane
CCDC125,Nucleoplasm,Nucleoplasm
BCOR,Nucleoplasm,Nucleoplasm
JRKL,Nucleoplasm,Nucleoplasm
JRKL,Cytokinetic bridge,Cytokinetic_bridge
CABCOCO1,Basal body,Basal_body
CABCOCO1,Centrosome,Centrosome
CABCOCO1,Cytosol,Cytosol
CABCOCO1,Nucleoplasm,Nucleoplasm
KIAA2026,Cytosol,Cytosol
KIAA2026,Vesicles,Vesicles
KIAA2026,Nucleoplasm,Nucleoplasm
SYNDIG1L,Cytosol,Cytosol
FHL3,Nucleoplasm,Nucleoplasm
TMEM89,Perinuclear theca,Perinuclear_theca
TEKTIP1,Cytosol,Cytosol
TEKTIP1,Plasma membrane,Plasma_membrane
TEKTIP1,Endoplasmic reticulum,Endoplasmic_reticulum
CCDC159,Nuclear bodies,Nuclear_bodies
CCDC159,Nucleoplasm,Nucleoplasm
CCDC159,Cytosol,Cytosol
RIPK4,Cytosol,Cytosol
RIPK4,Vesicles,Vesicles
RIPK4,Plasma membrane,Plasma_membrane
LRIT3,Cytosol,Cytosol
LRIT3,Mitochondria,Mitochondria
LRIT3,Nucleoplasm,Nucleoplasm
NPIPA1,Nucleoplasm,Nucleoplasm
SF3A3,Nuclear speckles,Nuclear_speckles
SF3A3,Nucleoplasm,Nucleoplasm
TFDP3,Nuclear membrane,Nuclear_membrane
TFDP3,Nucleoplasm,Nucleoplasm
TFDP3,Cytosol,Cytosol
TRIM61,Endoplasmic reticulum,Endoplasmic_reticulum
TRIM61,Nucleoli fibrillar center,Nucleoli_fibrillar_center
GRIN2A,Endoplasmic reticulum,Endoplasmic_reticulum
GRIN2A,Vesicles,Vesicles
GTF2H2C,Nuclear speckles,Nuclear_speckles
ASB7,Golgi apparatus,Golgi_apparatus
ASB7,Vesicles,Vesicles
ASB7,Nucleoplasm,Nucleoplasm
SH2D7,Nucleoli,Nucleoli
SH2D7,Cytosol,Cytosol
SH2D7,Nucleoplasm,Nucleoplasm
EP400,Nucleoplasm,Nucleoplasm
MEX3B,Cytosol,Cytosol
MEX3B,Nucleoplasm,Nucleoplasm
TENT5C,Nucleoplasm,Nucleoplasm
COA5,Mitochondria,Mitochondria
UTP11,Nucleoli,Nucleoli
UTP11,Cytosol,Cytosol
UTP11,Nucleoplasm,Nucleoplasm
PSMG1,Cytosol,Cytosol
PSMG1,Golgi apparatus,Golgi_apparatus
PSMG1,Nucleoplasm,Nucleoplasm
PRR14L,Nucleoplasm,Nucleoplasm
ACSM5,Vesicles,Vesicles
PCBP3,Mitochondria,Mitochondria
PCBP3,Nucleoplasm,Nucleoplasm
PCBP3,Vesicles,Vesicles
PGPEP1L,Equatorial segment,Equatorial_segment
PGPEP1L,Cytosol,Cytosol
PGPEP1L,Plasma membrane,Plasma_membrane
SETD3,Mitochondria,Mitochondria
TNFAIP8L3,Cytosol,Cytosol
TNFAIP8L3,Nucleoplasm,Nucleoplasm
ZNRF3,Golgi apparatus,Golgi_apparatus
H3C13,Nucleoplasm,Nucleoplasm
SFXN4,Mitochondria,Mitochondria
SFXN4,Nucleoplasm,Nucleoplasm
SFXN4,Vesicles,Vesicles
FAM167B,Actin filaments,Actin_filaments
MRPL54,Mitochondria,Mitochondria
ZNF438,Nucleoplasm,Nucleoplasm
ZNF438,Cytosol,Cytosol
HMCES,Nucleoplasm,Nucleoplasm
CCR3,Plasma membrane,Plasma_membrane
PRR32,Plasma membrane,Plasma_membrane
PRR32,Centrosome,Centrosome
PRR32,Nuclear speckles,Nuclear_speckles
TP53TG3,Centriolar satellite,Centriolar_satellite
ZNF530,Vesicles,Vesicles
NDUFB1,Mitochondria,Mitochondria
NDUFB1,Nuclear speckles,Nuclear_speckles
KLHL25,Cytosol,Cytosol
KLHL25,Nucleoplasm,Nucleoplasm
TRMT12,Nucleoplasm,Nucleoplasm
TRMT12,Mitochondria,Mitochondria
CMKLR2,Plasma membrane,Plasma_membrane
CMKLR2,Nucleoplasm,Nucleoplasm
CMKLR2,Vesicles,Vesicles
BMP8A,Vesicles,Vesicles
BMP8A,Predicted to be secreted,Predicted_to_be_secreted
ALYREF,Nuclear speckles,Nuclear_speckles
ALYREF,Nucleoplasm,Nucleoplasm
RFLNB,Actin filaments,Actin_filaments
RFLNB,Cytosol,Cytosol
RFLNB,Plasma membrane,Plasma_membrane
UPP1,Nucleoplasm,Nucleoplasm
OR4N4,Centrosome,Centrosome
TRIM52,Nucleoli,Nucleoli
TRIM52,Intermediate filaments,Intermediate_filaments
LHFPL6,Nucleoli,Nucleoli
CMTM4,Golgi apparatus,Golgi_apparatus
CMTM4,Plasma membrane,Plasma_membrane
CMTM4,Vesicles,Vesicles
TMEM50A,Plasma membrane,Plasma_membrane
TMEM50A,Actin filaments,Actin_filaments
TMEM50A,Cytosol,Cytosol
TBK1,Nucleoplasm,Nucleoplasm
TBK1,Vesicles,Vesicles
CBX6,Nucleoplasm,Nucleoplasm
CBX6,Nuclear bodies,Nuclear_bodies
MACC1,Mitochondria,Mitochondria
TBL3,Nucleoli,Nucleoli
TRAIP,Cytosol,Cytosol
TRAIP,Plasma membrane,Plasma_membrane
CHEK2,Nucleoplasm,Nucleoplasm
CHEK2,Golgi apparatus,Golgi_apparatus
FOXL2,Nucleoplasm,Nucleoplasm
AIFM3,Mitochondria,Mitochondria
KCTD16,Centrosome,Centrosome
KCTD16,End piece,End_piece
