gene,location_raw,location
MIXL1,Nucleoplasm,Nucleoplasm
LRRC37B,Cytosol,Cytosol
DDX51,Nucleoli,Nucleoli
DDX51,Nucleoplasm,Nucleoplasm
DDX51,Cytosol,Cytosol
SIGIRR,Cytosol,Cytosol
SIGIRR,Nucleoli fibrillar center,Nucleoli_fibrillar_center
NRBP2,Cytosol,Cytosol
IFITM2,Cell Junctions,Cell_Junctions
IFITM2,Nucleoplasm,Nucleoplasm
TNFAIP2,Cytosol,Cytosol
TNFAIP2,Golgi apparatus,Golgi_apparatus
TNFAIP2,Nuclear membrane,Nuclear_membrane
TNFAIP2,Nucleoplasm,Nucleoplasm
ZNF445,Nucleoplasm,Nucleoplasm
ZNF445,Cytosol,Cytosol
ZNF445,Mitochondria,Mitochondria
PGBD2,Vesicles,Vesicles
TCEAL9,Nucleoli,Nucleoli
TCEAL9,Nucleoplasm,Nucleoplasm
RAB11B,Centriolar satellite,Centriolar_satellite
RAB11B,Vesicles,Vesicles
RAB11B,Basal body,Basal_body
RAB11B,Cytosol,Cytosol
RAB11B,Primary cilium,Primary_cilium
PRPF39,Nucleoplasm,Nucleoplasm
MAGEA11,Nuclear bodies,Nuclear_bodies
MAGEA11,Nucleoplasm,Nucleoplasm
MAGEA11,Cytosol,Cytosol
